user_external_id,membership_number,tier,status,points,started_at,expires_at,metadata_json
USR001,M2025001,standard,active,120,2025-01-01T00:00:00+08:00,,"{""source"":""day_3_seed""}"
USR002,M2025002,gold,active,3680,2025-01-01T00:00:00+08:00,2026-12-31T23:59:59+08:00,"{""source"":""day_3_seed""}"
USR003,M2025003,silver,active,860,2025-02-01T00:00:00+08:00,2026-02-01T00:00:00+08:00,"{""source"":""day_3_seed""}"
USR004,M2025004,platinum,active,8920,2025-01-01T00:00:00+08:00,2026-12-31T23:59:59+08:00,"{""source"":""day_3_seed""}"
USR005,M2025005,standard,active,65,2025-03-15T00:00:00+08:00,,"{""source"":""day_3_seed""}"
USR006,M2025006,silver,active,1130,2025-04-01T00:00:00+08:00,2026-04-01T00:00:00+08:00,"{""source"":""day_3_seed""}"
USR007,M2025007,gold,suspended,2450,2025-01-01T00:00:00+08:00,2026-12-31T23:59:59+08:00,"{""source"":""day_3_seed"",""suspension_reason"":""refund_risk_review""}"
USR008,M2025008,platinum,active,10240,2025-01-01T00:00:00+08:00,2026-12-31T23:59:59+08:00,"{""source"":""day_3_seed""}"
USR009,M2025009,standard,active,320,2025-05-01T00:00:00+08:00,,"{""source"":""day_3_seed""}"
USR010,M2025010,silver,active,750,2025-05-15T00:00:00+08:00,2026-05-15T00:00:00+08:00,"{""source"":""day_3_seed""}"
USR011,M2025011,gold,active,4260,2025-01-15T00:00:00+08:00,2026-12-31T23:59:59+08:00,"{""source"":""day_3_seed""}"
USR012,M2025012,platinum,active,15600,2025-01-01T00:00:00+08:00,2026-12-31T23:59:59+08:00,"{""source"":""day_3_seed""}"
USR013,M2025013,standard,active,80,2025-06-01T00:00:00+08:00,,"{""source"":""day_3_seed""}"
USR014,M2025014,silver,expired,540,2024-01-01T00:00:00+08:00,2025-01-01T00:00:00+08:00,"{""source"":""day_3_seed""}"
USR015,M2025015,gold,active,3100,2025-02-01T00:00:00+08:00,2026-02-01T00:00:00+08:00,"{""source"":""day_3_seed""}"
USR016,M2025016,platinum,active,12020,2025-01-01T00:00:00+08:00,2026-12-31T23:59:59+08:00,"{""source"":""day_3_seed""}"
USR017,M2025017,standard,active,210,2025-06-15T00:00:00+08:00,,"{""source"":""day_3_seed""}"
USR018,M2025018,silver,active,980,2025-03-01T00:00:00+08:00,2026-03-01T00:00:00+08:00,"{""source"":""day_3_seed""}"
USR019,M2025019,gold,closed,1800,2024-01-01T00:00:00+08:00,2025-06-30T23:59:59+08:00,"{""source"":""day_3_seed""}"
USR020,M2025020,standard,closed,0,2024-01-01T00:00:00+08:00,2025-01-01T00:00:00+08:00,"{""source"":""day_3_seed""}"
